,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
75,1211119355688041,65,06 year(s) 00 month(s) 07 day(s),L1,Dogs 081 A5,Available,L1,F,A0059216702,-
76,1211119511123537,21,00 year(s) 10 month(s) 07 day(s),L1,Dogs 064 A2,Adopted,L1,M,A0059215791,-
77,1211132956065646,65,08 year(s) 00 month(s) 08 day(s),L2-BR,Dogs 079 B6,Available,L2,M,A0059212500,+
78,1211119355478030,33,02 year(s) 00 month(s) 08 day(s),L2-SF,Dogs 068 A1,Available,L2,F,A0059209048,-
79,1211133067061772,58,06 year(s) 01 month(s) 17 day(s),L1,Receiving 130 20,Available,L1,F,A0058882547,+
80,1211133511488813,7,00 year(s) 11 month(s) 07 day(s),L1,Dogs 064 B1,Adopted,L1,F,A0059211703,-
81,1211156343020532,42,02 year(s) 00 month(s) 06 day(s),L2-SF,Dogs 081 A4,Adopted,L2,N,A0059223843,-
82,1211128449687475,49,02 year(s) 00 month(s) 06 day(s),L1,Dogs 064 A4,Available,L1,N,A0059223256,-
83,1211153034077477,27,01 year(s) 06 month(s) 06 day(s),L1,Dogs 088 A1,Available,L1,F,A0059224364,-
84,1211131257515248,31,00 year(s) 08 month(s) 06 day(s),L1,Dogs 081 A8,Cites,L1,F,A0059220223,-
85,1211173994979636,29,02 year(s) 00 month(s) 06 day(s),L1,Dogs 067 A1,Available,L1,N,A0059221224,+
86,1211131564821388,53,03 year(s) 00 month(s) 06 day(s),L1,Dogs 081 B3,Available,L1,M,A0059209543,-
87,1211133115079665,42,01 year(s) 00 month(s) 06 day(s),L1,Dogs 066 B2,Available,L1,S,A0059217071,-
88,1211157305142482,39,02 year(s) 00 month(s) 14 day(s),L3-SF,Dogs 601 3,Priority,L3,M,A0059061882,-
89,1211073853716052,49,03 year(s) 01 month(s) 00 day(s),L1-EA,Dogs 606 B4,Available,L1,F,A0058999057,
90,1211057197189556,48,03 year(s) 01 month(s) 08 day(s),L1,Dogs 601 4,Available,L1,M,A0058952168,-
91,1211132336537746,79,04 year(s) 00 month(s) 26 day(s),L1,Dogs 601 5,Available,L1,M,A0058998237,-
92,1211073294265440,50,02 year(s) 01 month(s) 16 day(s),L1 - EA,Dogs 606 B1,Priority,L1,F,A0058900098,-
93,1211074539761550,50,02 year(s) 01 month(s) 16 day(s),L1 - EA,Dogs 606 B1,Priority,L1,F,A0058900098,-
94,1211175660621515,34,00 year(s) 11 month(s) 09 day(s),L2-SF,Dogs 602 1,Available,L2,F,A0058941410,-
95,1211152306474300,68,02 year(s) 01 month(s) 07 day(s),L1,Foster Foster Home,Available,L1,M,A0058950235,-
96,1211132331433023,51,01 year(s) 01 month(s) 08 day(s),L1,Dogs 601 6,Available,L1,M,A0058950523,-
97,1211143398435192,56,02 year(s) 01 month(s) 08 day(s),L1,Dogs 606 B6,Available,L1,M,A0058945559,-
98,1211143512057804,55,01 year(s) 01 month(s) 05 day(s),L2-SF,Dogs 601 2,Available,L2,M,A0058965409,-
99,1211151716567278,60,05 year(s) 01 month(s) 15 day(s),L1,Dogs 603 B1,Available,L1,M,A0058901520,-
100,1211068745225572,49,04 year(s) 00 month(s) 30 day(s),L1,Dogs 603 B5,Priority,L1,F,A0059005850,-
101,1211175532082078,60,03 year(s) 07 month(s) 10 day(s),L2-SF/BR,Dogs 602 3,Priority,L2,M,A0058940587,-
102,1211071702488205,47,04 year(s) 06 month(s) 22 day(s),L1,Dogs 603 A4,Priority,L1,S,A0057806990,+
103,1211175657699961,55,03 year(s) 00 month(s) 28 day(s),L2 - RG,Dogs 603 B6,Priority,L2,M,A0059018741,-
104,1211151153068938,50,01 year(s) 00 month(s) 24 day(s),L1,Dogs 603 B4,Available,L1,M,A0059042315,-
105,1211151644497687,41,02 year(s) 00 month(s) 27 day(s),L1,Dogs 601 8,Available,L1,F,A0059031231,-
106,1211154478704645,68,03 year(s) 05 month(s) 23 day(s),L2-BR,Dogs 603 A1,Adopted,L2,N,A0057963121,-
107,1211129518146063,16,02 year(s) 00 month(s) 19 day(s),L1,Dogs 602 C3,Available,L1,N,A0059080152,-
108,1211073219041438,58,01 year(s) 06 month(s) 22 day(s),L1,Dogs 606 A3,Available,L1,N,A0056513366,-
109,1211174195383034,47,04 year(s) 00 month(s) 15 day(s),L3-SF/A/ OD,Dogs 603 B2,Priority,L3,M,A0059089132,-
110,1211129821580029,32,01 year(s) 00 month(s) 14 day(s),L1,Dog Pre/Post Op 138 4,Court,L1,F,A0059114213,-
