"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0060648990","Cat","Dipper Pines","00 year(s) 01 month(s) 15 day(s)"," Black / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/18/2026 12:00 AM","F","0.5","2","3/18/2026 02:38 PM","L1 2026003005",""
"A0060649005","Cat","Pacifica Northwest","00 year(s) 01 month(s) 15 day(s)"," Grey / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/18/2026 12:00 AM","F","0.62","1","3/18/2026 02:46 PM","L1 2026003005",""
"A0060649429","Dog","Barksy","03 year(s) 00 month(s) 13 day(s)"," Tan / White Terrier, American Pit Bull / Mix","Available","Dogs 064","A2","3/20/2023 12:00 AM","N","59.8","3","3/18/2026 02:52 PM","L2-SF","941010005049048"
"A0060650175","Dog","Peach Pie","01 year(s) 06 month(s) 15 day(s)"," Apricot / White Terrier, American Pit Bull / Mix","Priority","Dogs 601","1","9/18/2024 12:00 AM","S","42.6","3","3/18/2026 02:30 PM","L2-SF","941010004740624"
"A0060650303","Dog","Mojo","02 year(s) 00 month(s) 15 day(s)"," White / Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 601","6","3/18/2024 12:00 AM","N","58","3","3/18/2026 03:53 PM","L2-OA/JM","985113012625416"
"A0060650318","Dog","Collins","01 year(s) 06 month(s) 15 day(s)"," White / Black Retriever, Labrador / Mix","Available","Dogs 603","B5","9/18/2024 12:00 AM","N","53.4","3","3/18/2026 03:53 PM","L1","985113012622580"
"A0060650545","Dog","Angelica","01 year(s) 00 month(s) 13 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Stray Wait","Dogs 067","B1","3/20/2025 12:00 AM","F","41.2","3","3/18/2026 04:03 PM","L1","941010004721862"
"A0060650562","Dog","Bailey",""," Tan / Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Stray Wait","Dog Pre/Post Op 138","4","","F","50","1","3/18/2026 04:04 PM","STAFF ONLY",""
"A0060652090","Dog","Cosmos",""," Cream Anatolian Shepherd / Mix","Available","Foster","Foster Home","","M","19.8","1","3/18/2026 08:37 PM","L1","941010004774547"
"A0060652555","Cat","Karter","00 year(s) 00 month(s) 20 day(s)","Dilute Orange Domestic Shorthair / Mix","Under Age","Kitten Nursery","6B","3/13/2026 12:00 AM","M","0.43","1","3/19/2026 07:33 AM","L1",""
"A0060652556","Cat","Kris","00 year(s) 00 month(s) 20 day(s)"," Orange Domestic Shorthair / Mix","Under Age","Kitten Nursery","6A","3/13/2026 12:00 AM","M","0.5","1","3/19/2026 07:33 AM","L1",""
"A0060652558","Cat","Kyle","00 year(s) 00 month(s) 20 day(s)"," Orange Domestic Shorthair / Mix","Under Age","Kitten Nursery","6A","3/13/2026 12:00 AM","M","0.43","1","3/19/2026 07:33 AM","L1",""
"A0060652559","Cat","Kamden","00 year(s) 00 month(s) 20 day(s)"," Grey / Orange Domestic Shorthair / Mix","Under Age","Kitten Nursery","6A","3/13/2026 12:00 AM","F","0.37","1","3/19/2026 07:33 AM","L1",""
"A0060652562","Cat","Kennedy","00 year(s) 00 month(s) 20 day(s)"," Black / White Domestic Shorthair / Mix","Under Age","Kitten Nursery","6B","3/13/2026 12:00 AM","F","0.5","1","3/19/2026 07:33 AM","L1",""
"A0060653088","Dog","Frooshy","00 year(s) 06 month(s) 13 day(s)"," Black / White Terrier, Boston / Terrier, Pit Bull","Available","Foster","Foster Home","9/20/2025 12:00 AM","N","40.6","3","3/19/2026 11:31 AM","L1","941010004742708"
"A0060653293","Dog","JC Penney","03 year(s) 00 month(s) 13 day(s)"," White Terrier, Pit Bull / Mix","Priority","Foster","Foster Home","3/20/2023 12:00 AM","F","37.4","3","3/19/2026 11:21 AM","L3-SF","941010004683094"
"A0060654201","Dog","Bucket","02 year(s) 06 month(s) 12 day(s)"," Brown / White Terrier, American Hairless / Mix","Available","Dogs 068","B3","9/21/2023 12:00 AM","S","51.8","2","3/19/2026 12:41 PM","L2-SF","941010004517311"
"A0060654269","Dog","Rocket","00 year(s) 07 month(s) 13 day(s)"," Tan / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 081","A9","8/20/2025 12:00 AM","N","41","1","3/19/2026 11:53 AM","L1","941010004742283"
"A0060654934","Dog","Goobie","11 year(s) 00 month(s) 14 day(s)"," Brown / White Terrier, American Staffordshire / Mix","Stray Wait","Dogs 079","B3","3/19/2015 12:00 AM","M","48.8","3","3/19/2026 01:30 PM","L1","941010004742308"
"A0060655626","Dog","Jep","02 year(s) 06 month(s) 13 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Dogs 403","B1","9/20/2023 12:00 AM","N","56.2","1","3/19/2026 02:32 PM","L1","941010005095737"
"A0060657384","Dog","Coco-Lu","09 year(s) 00 month(s) 14 day(s)"," Black / Brown German Shepherd / Mix","Priority","Dogs 601","2","3/19/2017 12:00 AM","N","46","1","3/25/2026 11:51 AM","L3-A/OD","981020027187515"
"A0060657695","Dog","Burger",""," White / Grey Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Pending Behavior Assessment","Dogs 302","1","","M","","1","3/19/2026 04:16 PM","STAFF ONLY",""
"A0060658473","Dog","Nipsey","10 year(s) 00 month(s) 13 day(s)"," Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Dogs 403","B4","3/20/2016 12:00 AM","M","51.6","3","3/19/2026 06:00 PM","L2-OA/FJ","985113005863590"
